date,residuals
2015-09-01,-0.09178350491000042
2015-12-01,0.00779961038553445
2016-03-01,-0.05336447527445376
2016-06-01,0.028557338615991412
2016-09-01,0.16110240873393167
2016-12-01,0.02995061045919556
2017-03-01,-0.11656400660088817
2017-06-01,0.12538723642426852
2017-09-01,0.1536190038555132
2017-12-01,-0.04725672595095265
2018-03-01,0.1382091778669583
2018-06-01,-0.12920000603649484
2018-09-01,-0.030787139666744956
2018-12-01,0.046614107373944336
2019-03-01,0.06346618447627517
2019-06-01,0.06803845629449423
2019-09-01,-0.22171300553271234
2019-12-01,-0.06492120885349006
2020-03-01,0.0
2020-06-01,0.0
2020-09-01,0.0
2020-12-01,0.0
2021-03-01,0.024373287618987938
2021-06-01,0.0033693384218169697
2021-09-01,-0.025836893056782273
2021-12-01,-0.03521059477715749
2022-03-01,-0.029923121189146862
2022-06-01,0.11001084939262018
2022-09-01,0.027849947001920228
2022-12-01,-0.003159774370430135
2023-03-01,-0.013323284656862278
2023-06-01,-0.10439265582952206
2023-09-01,-0.04153353168612295
2023-12-01,-0.006887926676634848
2024-03-01,0.10886207255168934
2024-06-01,0.0645723243740477
2024-09-01,-0.15137884679058544
2024-12-01,0.10534205689508003
2025-03-01,-0.02158645007240434
2025-06-01,-0.07830085881105031
